"Marca","Tamanho do Motor","Preço Médio BRL","Combustível","Idade"
"Fiat",1.4,43249,"Gasoline",8
"GM - Chevrolet",1.8,21541,"Gasoline",18
"VW - VolksWagen",1.6,6032,"Gasoline",30
"Mercedes-Benz",5,130651,"Gasoline",20
"Mercedes-Benz",3,774146,"Diesel",0
"VW - VolksWagen",1.8,41675,"Gasoline",17
"GM - Chevrolet",1.8,16841,"Gasoline",22
"Mercedes-Benz",5,43879,"Gasoline",30
"Ford",2.3,20983,"Gasoline",26
"GM - Chevrolet",1.6,18159,"Gasoline",22
"GM - Chevrolet",4.3,9732,"Gasoline",29
"Fiat",1.5,4106,"Gasoline",30
"Mercedes-Benz",3,64103,"Gasoline",14
"VW - VolksWagen",1,13880,"Gasoline",22
"VW - VolksWagen",1,44033,"Gasoline",8
"Mercedes-Benz",2.2,215282,"Diesel",1
"GM - Chevrolet",1,11711,"Alcohol",22
"Ford",3.9,143453,"Diesel",13
"VW - VolksWagen",2,20469,"Gasoline",26
"GM - Chevrolet",2,29245,"Gasoline",16
"VW - VolksWagen",2.8,26547,"Gasoline",32
"VW - VolksWagen",1.8,14475,"Gasoline",23
"Mercedes-Benz",4,1866300,"Gasoline",3
"VW - VolksWagen",1.6,28214,"Gasoline",15
"GM - Chevrolet",2,17199,"Gasoline",19
"Fiat",2,8949,"Gasoline",28
"Ford",3.6,11081,"Gasoline",34
"GM - Chevrolet",1,7520,"Gasoline",29
"GM - Chevrolet",1.8,5230,"Gasoline",36
"Ford",2,16167,"Gasoline",22
"VW - VolksWagen",1,40562,"Gasoline",6
"Ford",3.2,146838,"Diesel",7
"Mercedes-Benz",1.8,86051,"Gasoline",11
"VW - VolksWagen",1.4,101823,"Gasoline",5
"Mercedes-Benz",2,255241,"Gasoline",6
"GM - Chevrolet",2.5,10906,"Gasoline",36
"VW - VolksWagen",1.6,6624,"Gasoline",28
"VW - VolksWagen",3,318396,"Diesel",1
"Fiat",1.5,5398,"Gasoline",33
"Fiat",1.4,29565,"Gasoline",10
"GM - Chevrolet",2.4,43040,"Gasoline",19
"GM - Chevrolet",1.8,61033,"Gasoline",10
"Ford",1.5,72531,"Gasoline",5
"VW - VolksWagen",1.6,10049,"Gasoline",33
"Ford",1.6,14988,"Gasoline",27
"GM - Chevrolet",1.8,32379,"Gasoline",16
"VW - VolksWagen",1,18381,"Gasoline",20
"Fiat",1.4,66675,"Gasoline",7
"Fiat",1.5,7901,"Gasoline",33
"Mercedes-Benz",2.2,99116,"Diesel",10
"GM - Chevrolet",1.8,17478,"Gasoline",21
"Mercedes-Benz",2.3,23443,"Gasoline",32
"GM - Chevrolet",2.2,7838,"Alcohol",28
"Fiat",1.5,14053,"Gasoline",24
"GM - Chevrolet",2.4,54991,"Gasoline",12
"Ford",1.8,6722,"Gasoline",31
"Mercedes-Benz",1.6,90230,"Gasoline",9
"GM - Chevrolet",2,25384,"Gasoline",16
"GM - Chevrolet",1.4,39364,"Gasoline",10
"Ford",1,17331,"Gasoline",17
"Fiat",2.8,25880,"Diesel",25
"GM - Chevrolet",1,22675,"Gasoline",12
"Fiat",1,45997,"Gasoline",5
"Mercedes-Benz",2.2,304361,"Diesel",1
"Mercedes-Benz",5,150582,"Gasoline",15
"VW - VolksWagen",1,51854,"Gasoline",7
"VW - VolksWagen",1.4,212198,"Gasoline",0
"VW - VolksWagen",1.4,163550,"Gasoline",0
"Mercedes-Benz",2.2,122950,"Diesel",9
"Mercedes-Benz",3,458222,"Gasoline",3
"GM - Chevrolet",4.1,12126,"Gasoline",36
"VW - VolksWagen",1.6,11213,"Alcohol",26
"GM - Chevrolet",2.4,36104,"Gasoline",14
"GM - Chevrolet",1.4,39743,"Gasoline",9
"Fiat",1.4,47819,"Gasoline",7
"GM - Chevrolet",5.7,254949,"Gasoline",16
"Ford",3.9,158597,"Diesel",12
"GM - Chevrolet",5.7,231670,"Gasoline",8
"Fiat",1,49615,"Gasoline",4
"Ford",1.8,7560,"Gasoline",26
"Ford",1.6,10652,"Gasoline",23
"GM - Chevrolet",1.4,29666,"Gasoline",14
"Fiat",1.5,9452,"Gasoline",24
"VW - VolksWagen",2,12677,"Gasoline",26
"VW - VolksWagen",1.8,19239,"Gasoline",21
"Fiat",1.6,16608,"Gasoline",22
"GM - Chevrolet",1,23123,"Gasoline",13
"Ford",1.6,13939,"Gasoline",17
"GM - Chevrolet",1,42518,"Gasoline",9
"VW - VolksWagen",1.8,10643,"Gasoline",30
"Ford",2,12789,"Gasoline",27
"Fiat",1,35450,"Gasoline",9
"VW - VolksWagen",1.8,22601,"Gasoline",20
"Fiat",1.8,91620,"Gasoline",2
"Ford",2.2,79990,"Diesel",10
"VW - VolksWagen",1.6,5125,"Gasoline",36
"VW - VolksWagen",1,87037,"Gasoline",4
"VW - VolksWagen",1,38113,"Gasoline",9
"GM - Chevrolet",4.3,34706,"Gasoline",19
"Fiat",1.6,36787,"Gasoline",11
"GM - Chevrolet",2.2,20560,"Gasoline",25
"Fiat",1,19861,"Gasoline",14
"Fiat",1.6,4035,"Gasoline",36
"GM - Chevrolet",1,19620,"Gasoline",17
"Fiat",1.4,47963,"Gasoline",10
"GM - Chevrolet",1.8,52066,"Gasoline",6
"Fiat",1,23882,"Gasoline",13
"Mercedes-Benz",2.2,75941,"Diesel",13
"Fiat",1,25150,"Gasoline",11
"VW - VolksWagen",1,45206,"Gasoline",7
"Ford",2.3,26869,"Gasoline",18
"Fiat",1,9117,"Gasoline",26
"Fiat",1.5,3342,"Gasoline",37
"VW - VolksWagen",1.8,26764,"Gasoline",18
"VW - VolksWagen",1,72451,"Gasoline",4
"Mercedes-Benz",3.5,159680,"Gasoline",11
"VW - VolksWagen",2.8,15875,"Gasoline",24
"GM - Chevrolet",2,8305,"Gasoline",29
"Ford",2.5,31045,"Diesel",24
"Mercedes-Benz",2.2,122529,"Diesel",7
"VW - VolksWagen",1.6,12689,"Gasoline",19
"Mercedes-Benz",2,35520,"Gasoline",15
"VW - VolksWagen",1.6,27916,"Gasoline",13
"Mercedes-Benz",2.2,79243,"Diesel",11
"VW - VolksWagen",1.6,8558,"Gasoline",30
"VW - VolksWagen",2,37316,"Gasoline",12
"Fiat",1.5,23811,"Gasoline",17
"Fiat",1.4,28971,"Gasoline",13
"Fiat",2,10356,"Gasoline",26
"VW - VolksWagen",1.6,48076,"Gasoline",9
"Ford",2,23078,"Gasoline",18
"Fiat",2,212415,"Diesel",0
"VW - VolksWagen",1.6,19229,"Gasoline",19
"Ford",1.6,31191,"Gasoline",15
"Fiat",1,21758,"Gasoline",10
"Fiat",1.5,17523,"Gasoline",22
"GM - Chevrolet",2,26599,"Gasoline",16
"Fiat",1.4,39543,"Gasoline",11
"VW - VolksWagen",1,12026,"Gasoline",20
"GM - Chevrolet",2.5,108456,"Gasoline",8
"VW - VolksWagen",1.4,197025,"Gasoline",1
"Ford",1.6,42283,"Gasoline",10
"GM - Chevrolet",1,21073,"Gasoline",14
"Fiat",1,26648,"Gasoline",12
"GM - Chevrolet",1,13338,"Alcohol",18
"Fiat",1.8,39526,"Gasoline",13
"VW - VolksWagen",1.8,13545,"Alcohol",27
"GM - Chevrolet",1.4,44704,"Gasoline",8
"Fiat",1.8,28630,"Gasoline",15
"GM - Chevrolet",1,61071,"Gasoline",3
"Ford",2.2,114466,"Diesel",7
"GM - Chevrolet",1.4,17754,"Gasoline",16
"Mercedes-Benz",2.2,61434,"Diesel",14
"GM - Chevrolet",4.1,20495,"Gasoline",32
"GM - Chevrolet",2.4,28863,"Gasoline",18
"Fiat",1.6,11038,"Gasoline",24
"Fiat",1,25701,"Gasoline",13
"VW - VolksWagen",1,6785,"Gasoline",25
"Mercedes-Benz",2,40775,"Gasoline",13
"GM - Chevrolet",4.1,22302,"Gasoline",31
"GM - Chevrolet",1,10617,"Gasoline",24
"Mercedes-Benz",3,775548,"Gasoline",3
"GM - Chevrolet",1,86568,"Gasoline",2
"Ford",2.5,133941,"Gasoline",6
"VW - VolksWagen",1.8,13228,"Gasoline",26
"GM - Chevrolet",1.8,12438,"Gasoline",23
"VW - VolksWagen",2,44870,"Gasoline",14
"Fiat",1.4,34564,"Gasoline",13
"VW - VolksWagen",2,269685,"Gasoline",0
"Fiat",1.8,77119,"Gasoline",3
"VW - VolksWagen",1.6,62749,"Gasoline",5
"VW - VolksWagen",1.6,17524,"Gasoline",19
"VW - VolksWagen",1.6,36258,"Gasoline",9
"GM - Chevrolet",1.8,83811,"Gasoline",1
"VW - VolksWagen",1.6,42219,"Gasoline",8
"Fiat",1.4,44133,"Gasoline",10
"Mercedes-Benz",3,497420,"Gasoline",4
"VW - VolksWagen",1.8,16736,"Gasoline",26
"Ford",3,78000,"Diesel",13
"Ford",2.8,41581,"Diesel",20
"Mercedes-Benz",2.4,33804,"Gasoline",25
"Ford",3.9,40364,"Diesel",30
"Mercedes-Benz",2.2,243653,"Diesel",0
"VW - VolksWagen",1.8,24131,"Gasoline",19
"Fiat",1,131430,"Gasoline",0
"VW - VolksWagen",1.8,18227,"Gasoline",27
"Fiat",1.5,13985,"Gasoline",25
"GM - Chevrolet",1.8,9449,"Gasoline",30
"VW - VolksWagen",1,56365,"Gasoline",6
"Fiat",1.8,47463,"Gasoline",7
"VW - VolksWagen",1,37802,"Gasoline",7
"GM - Chevrolet",1,10311,"Gasoline",25
"Ford",2.5,23272,"Diesel",25
"GM - Chevrolet",4.1,30368,"Gasoline",29
"GM - Chevrolet",2,16275,"Gasoline",21
"Fiat",1.8,26584,"Gasoline",12
"Fiat",1.8,104639,"Gasoline",2
"GM - Chevrolet",2.4,76331,"Gasoline",11
"Fiat",2.3,95850,"Diesel",9
"Fiat",1.6,43016,"Gasoline",9
"Fiat",1.3,48256,"Gasoline",5
"Ford",1.5,79745,"Gasoline",4
"VW - VolksWagen",1.8,15005,"Gasoline",25
"Ford",4,25106,"Gasoline",25
"VW - VolksWagen",1,49703,"Gasoline",7
"GM - Chevrolet",1,28508,"Gasoline",9
"GM - Chevrolet",2.2,17317,"Gasoline",21
"Ford",1.6,10114,"Alcohol",28
"Ford",3.2,272351,"Diesel",0
"Fiat",1.6,37264,"Gasoline",10
"GM - Chevrolet",2.5,110728,"Gasoline",7
"VW - VolksWagen",1.6,42464,"Gasoline",13
"GM - Chevrolet",1.4,41697,"Gasoline",9
"Mercedes-Benz",1.8,99594,"Gasoline",11
"Mercedes-Benz",6,204932,"Gasoline",19
"VW - VolksWagen",1,28104,"Gasoline",10
"VW - VolksWagen",1,41636,"Gasoline",8
"Mercedes-Benz",6.2,296610,"Gasoline",13
"Mercedes-Benz",5.5,86939,"Gasoline",15
"Mercedes-Benz",2.2,259759,"Diesel",0
"VW - VolksWagen",2,117165,"Diesel",9
"GM - Chevrolet",1.8,6299,"Gasoline",33
"GM - Chevrolet",1,7785,"Gasoline",28
"VW - VolksWagen",1,43672,"Gasoline",9
"GM - Chevrolet",1,10457,"Gasoline",23
"GM - Chevrolet",2.8,62750,"Diesel",17
"VW - VolksWagen",1.6,38535,"Gasoline",10
"GM - Chevrolet",1,11895,"Gasoline",24
"GM - Chevrolet",1.4,128220,"Gasoline",1
"VW - VolksWagen",1.6,37662,"Gasoline",11
"VW - VolksWagen",1.8,12365,"Gasoline",27
"VW - VolksWagen",2,130222,"Gasoline",8
"GM - Chevrolet",2.8,58721,"Diesel",16
"Fiat",1.8,31944,"Gasoline",12
"VW - VolksWagen",1,11385,"Gasoline",21
"Fiat",1.5,8746,"Gasoline",28
"VW - VolksWagen",1.6,47669,"Gasoline",7
"VW - VolksWagen",1.6,12480,"Gasoline",31
"Ford",1.6,57895,"Gasoline",5
"Mercedes-Benz",3.5,54802,"Gasoline",17
"Mercedes-Benz",2.2,218278,"Diesel",3
"VW - VolksWagen",1.6,31669,"Gasoline",15
"Ford",1.6,11033,"Gasoline",29
"Mercedes-Benz",2,283562,"Gasoline",4
"Ford",1.3,5163,"Gasoline",28
"GM - Chevrolet",2,41456,"Gasoline",11
"Mercedes-Benz",2.2,176055,"Diesel",4
"Mercedes-Benz",5,97756,"Gasoline",29
"Ford",1.4,8310,"Gasoline",26
"Ford",1,24396,"Gasoline",12
"Ford",5.4,28345,"Gasoline",26
"Ford",1.6,6573,"Gasoline",34
"Fiat",1,19676,"Gasoline",14
"VW - VolksWagen",1.6,22165,"Gasoline",19
"VW - VolksWagen",1.6,87392,"Gasoline",2
"GM - Chevrolet",1.8,98442,"Gasoline",1
"Fiat",2.8,55132,"Diesel",15
"Ford",3,68387,"Diesel",13
"GM - Chevrolet",2.8,191798,"Diesel",5
"GM - Chevrolet",1.4,31521,"Gasoline",11
"Fiat",1.6,15177,"Gasoline",20
"GM - Chevrolet",2,9404,"Gasoline",33
"VW - VolksWagen",1.8,9506,"Alcohol",25
"VW - VolksWagen",1.6,48765,"Gasoline",5
"VW - VolksWagen",1.4,127433,"Gasoline",2
"VW - VolksWagen",2,22054,"Gasoline",21
"Ford",2.2,103565,"Diesel",8
"VW - VolksWagen",4.2,214460,"Gasoline",7
"VW - VolksWagen",1.6,52208,"Gasoline",7
"Fiat",1.5,19697,"Alcohol",18
"VW - VolksWagen",1.6,8926,"Gasoline",30
"Fiat",1.3,13940,"Gasoline",20
"Mercedes-Benz",2,246358,"Gasoline",6
"Mercedes-Benz",3,291850,"Diesel",7
"Ford",3,58484,"Diesel",16
"Ford",2.3,31972,"Gasoline",18
"GM - Chevrolet",2.2,12291,"Gasoline",27
"Mercedes-Benz",1.6,72786,"Gasoline",10
"GM - Chevrolet",2.8,306650,"Diesel",2
"VW - VolksWagen",1.8,5495,"Gasoline",34
"VW - VolksWagen",3.6,109290,"Gasoline",10
"Fiat",1,9861,"Alcohol",23
"GM - Chevrolet",4.1,39262,"Gasoline",29
"Mercedes-Benz",2,245742,"Gasoline",6
"Ford",3.6,9433,"Gasoline",37
"GM - Chevrolet",2,22522,"Gasoline",31
"GM - Chevrolet",4.2,66431,"Diesel",25
"Fiat",1.8,16312,"Gasoline",20
"Ford",2,45303,"Gasoline",10
"VW - VolksWagen",2,258250,"Gasoline",2
"VW - VolksWagen",2,19720,"Gasoline",19
"VW - VolksWagen",1.8,10916,"Gasoline",27
"Ford",1,67866,"Gasoline",5
"Mercedes-Benz",5,131321,"Gasoline",20
"VW - VolksWagen",1.4,32822,"Gasoline",14
"GM - Chevrolet",1.8,66088,"Gasoline",9
"GM - Chevrolet",4.1,25603,"Gasoline",28
"GM - Chevrolet",2.8,59582,"Diesel",19
"GM - Chevrolet",1.6,37934,"Gasoline",10
"Ford",1.8,10849,"Gasoline",22
"Fiat",1.6,12155,"Gasoline",22
"Ford",1.8,10143,"Gasoline",23
"VW - VolksWagen",2,10558,"Gasoline",34
"VW - VolksWagen",1.8,8093,"Gasoline",31
"Fiat",1.8,27924,"Gasoline",13
"VW - VolksWagen",1.8,26030,"Gasoline",22
"GM - Chevrolet",1.8,18546,"Alcohol",19
"Fiat",1.6,11480,"Gasoline",23
"GM - Chevrolet",2,8364,"Alcohol",27
"GM - Chevrolet",1.8,60910,"Gasoline",9
"Ford",1.6,26430,"Gasoline",13
"Mercedes-Benz",2.3,32845,"Gasoline",21
"GM - Chevrolet",1.8,60417,"Gasoline",6
"GM - Chevrolet",1.8,6250,"Gasoline",33
"Fiat",1.4,66237,"Gasoline",3
"Ford",4,53598,"Gasoline",18
"Ford",1.5,60916,"Gasoline",4
"VW - VolksWagen",1.6,24486,"Gasoline",14
"GM - Chevrolet",1,24723,"Gasoline",13
"Ford",3.2,294487,"Diesel",0
"VW - VolksWagen",1.6,27380,"Gasoline",16
"Fiat",1,9750,"Gasoline",22
"Mercedes-Benz",5.6,31021,"Gasoline",36
"GM - Chevrolet",2,38523,"Gasoline",12
"Fiat",2,10619,"Gasoline",28
"Fiat",1.4,22079,"Gasoline",13
"Fiat",1,38353,"Gasoline",7
"GM - Chevrolet",1.6,10662,"Gasoline",24
"VW - VolksWagen",1.6,30133,"Gasoline",13
"Ford",3,59310,"Diesel",16
"VW - VolksWagen",1.6,24833,"Gasoline",18
"Ford",1.3,5458,"Gasoline",28
"VW - VolksWagen",2,19582,"Gasoline",25
"Mercedes-Benz",2.2,153497,"Diesel",6
"Ford",2.8,52733,"Diesel",20
"Mercedes-Benz",1.8,201657,"Gasoline",9
"Mercedes-Benz",3.2,97522,"Gasoline",19
"Fiat",1.4,66397,"Gasoline",9
"Fiat",1.6,37473,"Gasoline",8
"GM - Chevrolet",6.2,434512,"Gasoline",3
"Fiat",1.6,49491,"Gasoline",6
"Fiat",1.4,45610,"Gasoline",7
"Mercedes-Benz",1.6,190638,"Gasoline",5
"Mercedes-Benz",1.8,106826,"Gasoline",9
"Fiat",1.5,17671,"Gasoline",23
"VW - VolksWagen",1.6,41373,"Gasoline",9
"Ford",1.8,20642,"Gasoline",31
"VW - VolksWagen",1.8,15871,"Gasoline",19
"GM - Chevrolet",1,64166,"Gasoline",2
"Ford",1.8,13666,"Alcohol",28
"VW - VolksWagen",2,44443,"Gasoline",13
"Fiat",1.4,30390,"Gasoline",12
"Fiat",1.4,36648,"Gasoline",13
"VW - VolksWagen",1.8,7854,"Alcohol",28
"GM - Chevrolet",2.4,24457,"Gasoline",21
"Fiat",1.4,31756,"Gasoline",14
"VW - VolksWagen",1.4,74779,"Gasoline",9
"Ford",2,22330,"Gasoline",16
"GM - Chevrolet",1,86326,"Gasoline",1
"Fiat",2.4,15727,"Gasoline",21
"Ford",1,24785,"Gasoline",17
"Mercedes-Benz",3,87897,"Diesel",14
"Fiat",1.3,78356,"Gasoline",1
"GM - Chevrolet",4.3,12406,"Gasoline",27
"GM - Chevrolet",1.8,4734,"Gasoline",35
"GM - Chevrolet",1,16101,"Gasoline",17
"Ford",1.6,25499,"Gasoline",13
"Fiat",1,31148,"Gasoline",9
"VW - VolksWagen",1.6,60830,"Gasoline",6
"Fiat",1.6,13452,"Gasoline",23
"GM - Chevrolet",4.1,38551,"Gasoline",29
"Ford",3.9,96138,"Diesel",14
"GM - Chevrolet",2.8,64088,"Diesel",19
"VW - VolksWagen",4.2,46481,"Gasoline",17
"VW - VolksWagen",2,113960,"Diesel",6
"Fiat",1.3,22678,"Gasoline",19
"GM - Chevrolet",4.1,18480,"Gasoline",28
"VW - VolksWagen",2,22748,"Gasoline",23
"VW - VolksWagen",2,163949,"Diesel",6
"VW - VolksWagen",2,81521,"Gasoline",15
"VW - VolksWagen",2,72900,"Gasoline",9
"Ford",4,39658,"Gasoline",21
"GM - Chevrolet",3.1,11450,"Gasoline",31
"Fiat",1.5,16181,"Alcohol",19
"Fiat",1,21310,"Gasoline",12
"Mercedes-Benz",3.5,317518,"Gasoline",6
"Ford",1,44801,"Gasoline",5
"Ford",1.6,51122,"Gasoline",6
"GM - Chevrolet",1,19518,"Gasoline",16
"GM - Chevrolet",2.2,11784,"Alcohol",28
"Fiat",1.8,27780,"Gasoline",15
"VW - VolksWagen",1,47913,"Gasoline",5
"Mercedes-Benz",2.2,66549,"Diesel",13
"VW - VolksWagen",2,100243,"Gasoline",10
"Fiat",1.4,25559,"Gasoline",14
"Fiat",2.3,75932,"Diesel",11
"Fiat",1.8,23617,"Gasoline",17
"Fiat",1.6,38510,"Gasoline",9
"Mercedes-Benz",1.6,84180,"Diesel",7
"Mercedes-Benz",2,31065,"Gasoline",16
"VW - VolksWagen",2.8,7907,"Gasoline",31
"Ford",3.2,94453,"Diesel",8
"Ford",2.5,71293,"Gasoline",9
"Fiat",1.4,36051,"Gasoline",13
"GM - Chevrolet",2.8,81437,"Diesel",12
"Ford",4.9,17302,"Alcohol",28
"GM - Chevrolet",1,35533,"Gasoline",7
"Fiat",1.8,55164,"Gasoline",9
"VW - VolksWagen",1.8,14179,"Gasoline",26
"Mercedes-Benz",3.5,129189,"Gasoline",12
"GM - Chevrolet",2,33505,"Gasoline",13
"GM - Chevrolet",1.4,23965,"Gasoline",14
"VW - VolksWagen",1,12018,"Gasoline",21
"Ford",2.8,31172,"Diesel",19
"Ford",3.9,108354,"Diesel",14
"Mercedes-Benz",5,199778,"Gasoline",19
"Mercedes-Benz",5,119222,"Gasoline",25
"GM - Chevrolet",1,19464,"Gasoline",14
"GM - Chevrolet",2,40280,"Gasoline",12
"GM - Chevrolet",1.8,6303,"Gasoline",34
"VW - VolksWagen",2,85093,"Diesel",11
"Ford",1.8,14587,"Gasoline",31
"VW - VolksWagen",2,8223,"Gasoline",29
"Ford",3.9,192958,"Diesel",13
"GM - Chevrolet",2.5,224699,"Gasoline",0
"Mercedes-Benz",2.2,77984,"Diesel",14
"Mercedes-Benz",2.2,126562,"Diesel",7
"Ford",3,42294,"Diesel",13
"GM - Chevrolet",1.4,51517,"Gasoline",8
"Ford",1.8,5507,"Gasoline",33
"GM - Chevrolet",2.4,41034,"Gasoline",16
"Fiat",2.8,25055,"Diesel",24
"Mercedes-Benz",6.2,330722,"Gasoline",12
"GM - Chevrolet",2,30372,"Gasoline",14
"VW - VolksWagen",1.6,35453,"Gasoline",10
"Mercedes-Benz",2,381503,"Gasoline",2
"VW - VolksWagen",1.4,39270,"Gasoline",11
"VW - VolksWagen",1.8,6481,"Gasoline",35
"Fiat",1.8,42120,"Gasoline",9
"Mercedes-Benz",2.2,241117,"Diesel",0
"GM - Chevrolet",1,15237,"Gasoline",19
"Ford",4,19965,"Gasoline",28
"Fiat",1.6,32852,"Gasoline",11
"GM - Chevrolet",1.4,24073,"Gasoline",13
"Ford",1.6,34682,"Gasoline",12
"Fiat",1.8,54872,"Gasoline",9
"Mercedes-Benz",1.6,205060,"Gasoline",3
"GM - Chevrolet",1,82791,"Gasoline",2
"Ford",1.4,11954,"Gasoline",25
"Ford",1.6,59109,"Gasoline",5
"Ford",5,29784,"Gasoline",24
"VW - VolksWagen",1.8,12021,"Gasoline",27
"Ford",3,17149,"Gasoline",27
"Fiat",1.8,42973,"Gasoline",13
"Ford",1.8,7289,"Gasoline",30
"GM - Chevrolet",2.4,57675,"Gasoline",11
"Fiat",1.8,34779,"Gasoline",14
"GM - Chevrolet",2,27235,"Gasoline",14
"VW - VolksWagen",1.6,82600,"Gasoline",5
"VW - VolksWagen",1.8,33322,"Gasoline",21
"Fiat",1.6,4745,"Gasoline",33
"Ford",3.9,58195,"Diesel",28
"VW - VolksWagen",1.6,17340,"Alcohol",20
"Ford",1.6,4597,"Gasoline",34
"GM - Chevrolet",1,16291,"Gasoline",16
"Fiat",1.8,41200,"Gasoline",10
"VW - VolksWagen",1.8,10788,"Gasoline",30
"VW - VolksWagen",1.6,58269,"Gasoline",7
"Ford",3.6,21920,"Gasoline",29
"GM - Chevrolet",1.6,28980,"Gasoline",25
"VW - VolksWagen",1.8,19829,"Gasoline",22
"GM - Chevrolet",1.4,65348,"Gasoline",6
"GM - Chevrolet",1.4,68493,"Gasoline",4
"Fiat",1,17359,"Gasoline",14
"Fiat",1.4,52591,"Gasoline",9
"VW - VolksWagen",1.8,31126,"Gasoline",15
"Ford",3.5,72614,"Gasoline",10
"VW - VolksWagen",2,19257,"Gasoline",22
"Ford",4.9,56881,"Gasoline",25
"Mercedes-Benz",5,35481,"Gasoline",31
"Fiat",1.4,34673,"Gasoline",14
"Fiat",1,40636,"Gasoline",4
"GM - Chevrolet",2.2,23440,"Gasoline",23
"Ford",5.8,46131,"Gasoline",24
"Mercedes-Benz",5,101887,"Gasoline",28
"Fiat",1.4,24250,"Gasoline",11
"Ford",3.9,23252,"Diesel",32
"GM - Chevrolet",3,43809,"Gasoline",12
"Fiat",1.5,9265,"Alcohol",25
"Mercedes-Benz",2.2,156494,"Diesel",5
"VW - VolksWagen",1.6,42355,"Gasoline",10
"VW - VolksWagen",1.6,8162,"Gasoline",32
"Fiat",1.9,29284,"Gasoline",13
"Mercedes-Benz",5.5,1155066,"Gasoline",6
"GM - Chevrolet",1.6,12210,"Gasoline",25
"VW - VolksWagen",1.8,24658,"Gasoline",18
"Mercedes-Benz",3,681362,"Gasoline",0
"GM - Chevrolet",2.5,29015,"Diesel",23
"GM - Chevrolet",2.4,31419,"Gasoline",15
"GM - Chevrolet",2.8,168458,"Diesel",4
"Fiat",1.8,15629,"Gasoline",19
"Fiat",1.8,39188,"Gasoline",11
"Ford",2,7435,"Gasoline",28
"Ford",2,56704,"Gasoline",9
"Ford",3.8,13704,"Gasoline",29
"VW - VolksWagen",1.6,30358,"Gasoline",13
"GM - Chevrolet",1,105167,"Gasoline",3
"Ford",1.8,5602,"Gasoline",36
"VW - VolksWagen",1.6,38548,"Gasoline",12
"Ford",1.8,6095,"Alcohol",28
"Fiat",2,13153,"Gasoline",24
"Mercedes-Benz",2.2,109838,"Diesel",8
"Mercedes-Benz",3,26929,"Gasoline",32
"VW - VolksWagen",1.8,26079,"Gasoline",15
"GM - Chevrolet",1.6,13997,"Gasoline",24
"Mercedes-Benz",1.8,118195,"Gasoline",10
"Ford",1.6,11994,"Alcohol",20
"Mercedes-Benz",1.6,93047,"Gasoline",8
"Fiat",1.4,50851,"Gasoline",8
"VW - VolksWagen",1,13658,"Gasoline",22
"Ford",2.5,67717,"Gasoline",10
"GM - Chevrolet",4.2,63406,"Diesel",25
"Fiat",2.8,41917,"Diesel",18
"VW - VolksWagen",1.6,25436,"Alcohol",17
"Mercedes-Benz",1.6,195543,"Gasoline",5
"VW - VolksWagen",2,86147,"Diesel",12
"GM - Chevrolet",2.2,26667,"Gasoline",18
"GM - Chevrolet",1.4,26248,"Gasoline",13
"Mercedes-Benz",2.2,116386,"Diesel",8
"Ford",1.6,20949,"Gasoline",17
"VW - VolksWagen",1.6,45990,"Gasoline",12
"VW - VolksWagen",2,95559,"Diesel",9
"Fiat",1.5,190460,"Diesel",0
"Fiat",1.8,73885,"Gasoline",6
"Ford",4.9,20057,"Gasoline",28
"VW - VolksWagen",1.6,54500,"Gasoline",8
"GM - Chevrolet",4.2,82000,"Diesel",23
"Mercedes-Benz",1.8,127624,"Gasoline",10
"GM - Chevrolet",2.2,17316,"Gasoline",23
"GM - Chevrolet",1.4,69388,"Gasoline",4
"Ford",4.2,86728,"Diesel",22
"GM - Chevrolet",2.8,156814,"Diesel",3
"VW - VolksWagen",1.6,10652,"Gasoline",26
"Ford",2,81742,"Gasoline",8
"Mercedes-Benz",6.2,380834,"Gasoline",12
"GM - Chevrolet",1.6,13494,"Gasoline",22
"VW - VolksWagen",1,12839,"Gasoline",20
"VW - VolksWagen",1.6,10631,"Gasoline",23
"Mercedes-Benz",3,106711,"Gasoline",30
"VW - VolksWagen",1.6,54659,"Gasoline",8
"Fiat",1.8,27886,"Gasoline",13
"GM - Chevrolet",1.4,16400,"Gasoline",19
"GM - Chevrolet",1.6,10980,"Gasoline",27
"VW - VolksWagen",1.8,7331,"Gasoline",28
"Fiat",1,110978,"Gasoline",1
"GM - Chevrolet",1,79623,"Gasoline",2
"VW - VolksWagen",2,9399,"Gasoline",28
"Ford",1,44707,"Gasoline",6
"GM - Chevrolet",1.4,126905,"Gasoline",2
"Mercedes-Benz",1.6,69674,"Gasoline",11
"GM - Chevrolet",2,24649,"Gasoline",17
"GM - Chevrolet",2.2,13427,"Gasoline",24
"VW - VolksWagen",1.8,13609,"Gasoline",29
"Mercedes-Benz",5,100798,"Gasoline",21
"VW - VolksWagen",1,106560,"Gasoline",1
"Ford",1,14507,"Gasoline",20
"Fiat",1,68695,"Gasoline",0
"Ford",2.8,34846,"Diesel",19
"Fiat",2.3,153267,"Diesel",5
"GM - Chevrolet",2,10434,"Gasoline",33
"Mercedes-Benz",2.2,248878,"Diesel",1
"GM - Chevrolet",2.8,193890,"Diesel",6
"VW - VolksWagen",2,11740,"Gasoline",26
"GM - Chevrolet",1.8,8646,"Gasoline",30
"GM - Chevrolet",1.8,4035,"Gasoline",37
"Ford",1.8,8146,"Gasoline",24
