"Marca","Tamanho do Motor","Preço Médio BRL","Combustível","Idade"
"Fiat",1.6,13118,"Gasoline",23
"Fiat",2.8,37945,"Diesel",20
"VW - VolksWagen",1,10217,"Gasoline",24
"Ford",1.8,7255,"Alcohol",27
"GM - Chevrolet",3.9,54097,"Diesel",33
"Mercedes-Benz",6,463624,"Gasoline",12
"Ford",1.8,6745,"Gasoline",26
"Fiat",1.4,35476,"Gasoline",10
"Fiat",1,11568,"Gasoline",21
"GM - Chevrolet",4.1,12961,"Gasoline",35
"GM - Chevrolet",4.1,51416,"Diesel",25
"GM - Chevrolet",1,122616,"Gasoline",0
"Ford",1.6,23409,"Gasoline",14
"Mercedes-Benz",6.2,168200,"Gasoline",15
"VW - VolksWagen",1.6,54997,"Gasoline",7
"Mercedes-Benz",3,708851,"Gasoline",0
"GM - Chevrolet",1,81840,"Gasoline",1
"Fiat",1.8,26052,"Gasoline",14
"Fiat",2.4,15035,"Gasoline",22
"VW - VolksWagen",2.8,13135,"Gasoline",27
"Ford",3.9,113388,"Diesel",13
"GM - Chevrolet",2.2,20563,"Gasoline",20
"VW - VolksWagen",2,17159,"Gasoline",24
"GM - Chevrolet",1,17622,"Gasoline",16
"Fiat",1.4,38101,"Gasoline",11
"VW - VolksWagen",1.8,11298,"Gasoline",33
"Mercedes-Benz",5.5,327280,"Gasoline",10
"VW - VolksWagen",1.4,141269,"Gasoline",5
"VW - VolksWagen",1,50271,"Gasoline",6
"VW - VolksWagen",2,6904,"Gasoline",31
"Ford",2,12080,"Gasoline",23
"Mercedes-Benz",2,42410,"Gasoline",13
"Ford",2.5,43608,"Gasoline",12
"Mercedes-Benz",3.2,31059,"Gasoline",27
"Ford",1.6,14766,"Gasoline",17
"Fiat",1,31283,"Gasoline",9
"Fiat",1.5,10305,"Gasoline",24
"Fiat",2,12203,"Gasoline",24
"GM - Chevrolet",2.4,44527,"Gasoline",17
"Fiat",1,26807,"Gasoline",12
"VW - VolksWagen",2,101882,"Diesel",10
"VW - VolksWagen",1.8,22347,"Gasoline",18
"Mercedes-Benz",3.2,25442,"Gasoline",29
"VW - VolksWagen",1.6,23631,"Gasoline",18
"GM - Chevrolet",2.8,133350,"Diesel",9
"VW - VolksWagen",1.8,16478,"Gasoline",23
"GM - Chevrolet",1.8,74536,"Gasoline",7
"Fiat",1.4,41139,"Gasoline",13
"VW - VolksWagen",1.6,31863,"Gasoline",12
"Fiat",1.6,9514,"Gasoline",25
"VW - VolksWagen",1.6,43346,"Gasoline",13
"Ford",1.6,28200,"Gasoline",12
"VW - VolksWagen",1.8,19430,"Gasoline",17
"GM - Chevrolet",1.6,11458,"Gasoline",25
"VW - VolksWagen",1.6,49062,"Gasoline",8
"Fiat",1.3,13807,"Gasoline",20
"Fiat",1.5,9217,"Gasoline",31
"Ford",2,8691,"Alcohol",28
"VW - VolksWagen",1.4,121702,"Gasoline",5
"VW - VolksWagen",1.6,38978,"Gasoline",10
"VW - VolksWagen",1.6,39420,"Gasoline",10
"VW - VolksWagen",1.6,57099,"Gasoline",5
"GM - Chevrolet",1.8,57818,"Gasoline",10
"Fiat",1.8,39202,"Gasoline",10
"Fiat",1.8,67475,"Gasoline",8
"VW - VolksWagen",2,12632,"Gasoline",25
"Ford",2.8,51039,"Diesel",19
"Fiat",1,9961,"Alcohol",23
"GM - Chevrolet",2.8,199135,"Diesel",5
"Ford",2.2,102258,"Diesel",10
"Mercedes-Benz",2,457205,"Gasoline",0
"Mercedes-Benz",2.2,262086,"Diesel",0
"VW - VolksWagen",1,23528,"Gasoline",14
"VW - VolksWagen",1,17818,"Gasoline",16
"Mercedes-Benz",2.2,85743,"Diesel",13
"GM - Chevrolet",2,25066,"Gasoline",20
"VW - VolksWagen",1,133605,"Gasoline",1
"VW - VolksWagen",2.8,21714,"Gasoline",20
"Ford",2,71938,"Gasoline",5
"Ford",2.5,72392,"Diesel",25
"GM - Chevrolet",2.8,70828,"Diesel",13
"Ford",1.8,8295,"Gasoline",28
"GM - Chevrolet",2.4,38235,"Gasoline",15
"Fiat",2.3,83511,"Diesel",12
"Mercedes-Benz",2,172483,"Gasoline",7
"VW - VolksWagen",2,52854,"Gasoline",11
"GM - Chevrolet",4.1,15375,"Gasoline",37
"VW - VolksWagen",1.8,12826,"Gasoline",28
"GM - Chevrolet",2.5,109397,"Gasoline",7
"VW - VolksWagen",2,36023,"Gasoline",17
"Fiat",1,33785,"Gasoline",9
"GM - Chevrolet",2.8,128693,"Diesel",7
"GM - Chevrolet",1.4,31011,"Gasoline",14
